abstract,author,doi,url,publication month,publication year,title,publisher,crossref_field,semantic_field,label
,"['Julie LaRoche', 'Douglas W. R. Wallace', 'Ruth A. Schmitz', 'Gaute Lavik', 'Marcel M. M. Kuypers', 'Diana Gill', 'Harald Schunck', 'Tina Baustian', 'Wiebke Mohr', 'Tobias Großkopf']",10.1038/nature11338,https://doi.org/10.1038/nature11338,0,0,Doubling of marine dinitrogen-fixation rates based on direct measurements,Nature,"(['Multidisciplinary'],)",,Oceanography
,"['Natalie Mahowald', 'William Johns', 'Claire Mahaffey', 'Ajit Subramaniam']",10.1002/grl.50250,https://doi.org/10.1002/grl.50250,0,0,Equatorial upwelling enhances nitrogen fixation in the Atlantic Ocean,Geophysical Research Letters,"(['General Earth and Planetary Sciences', 'Geophysics'],)",,Oceanography
,"['Jonathan P. Zehr', 'Joseph P. Montoya', 'Mari Ochiai', 'Tracy R. C. Serros', 'Katherine M. Achilles', 'Kendra A. Turk-Kubo']",10.3389/fmicb.2012.00386,https://doi.org/10.3389/fmicb.2012.00386,0,0,Nitrogenase (nifH) gene expression in diazotrophic cyanobacteria in the Tropical North Atlantic in response to nutrient amendments,Frontiers in Microbiology,"(['Microbiology (medical)', 'Microbiology'],)",,Oceanography
,"['Jack Gilbert', 'E Malcolm S Woodward', 'Maeve Lohan', 'Rachel Shelley', 'Paul Swift', 'Nicole Pereira', 'Jonathan P Zehr', 'Andrew P Rees', 'Kendra A Turk']",10.1038/ismej.2010.205,https://doi.org/10.1038/ismej.2010.205,0,0,Nitrogen fixation and nitrogenase (nifH) expression in tropical waters of the eastern North Atlantic,The ISME Journal,"(['Ecology, Evolution, Behavior and Systematics', 'Microbiology'],)",,Oceanography
,"['Charles C. Price', 'Edward J. Carpenter']",10.4319/lo.1977.22.1.0060,https://doi.org/10.4319/lo.1977.22.1.0060,0,0,"Nitrogen fixation, distribution, and production of Oscillatoria (Trichodesmium) spp. in the western Sargasso and Caribbean Seas1: Oscillatoria measurements",Limnology and Oceanography,"(['Aquatic Science', 'Oceanography'],)",,Oceanography
"N            2            -fixing proteobacteria (α and γ) and unicellular cyanobacteria are common in both the tropical North Atlantic and Pacific oceans. In near-surface waters proteobacterial            nifH            transcripts were present during both night and day while unicellular cyanobacterial            nifH            transcripts were present during the nighttime only, suggesting separation of N            2            fixation and photosynthesis by unicellular cyanobacteria. Phylogenetic relationships among unicellular cyanobacteria from both oceans were determined after sequencing of a conserved region of 16S ribosomal DNA (rDNA) of cyanobacteria, and results showed that they clustered together, regardless of the ocean of origin. However, sequencing of            nifH            transcripts of unicellular cyanobacteria from both oceans showed that they clustered separately. This suggests that unicellular cyanobacteria from the tropical North Atlantic and subtropical North Pacific share a common ancestry (16S rDNA) and that potential unicellular N            2            fixers have diverged (            nifH            ). N            2            fixation rates for unicellular bacterioplankton (including small cyanobacteria) from both oceans were determined in situ according to the acetylene reduction and            15            N            2            protocols. The results showed that rates of fixation by bacterioplankton can be almost as high as those of fixation by the colonial N            2            -fixing marine cyanobacteria            Trichodesmium            spp. in the tropical North Atlantic but that rates are much lower in the subtropical North Pacific.","['Douglas G. Capone', 'Birgitta Bergman', 'Frank Cipriano', 'Edward J. Carpenter', 'Luisa I. Falcón']",10.1128/AEM.70.2.765-770.2004,https://doi.org/10.1128/AEM.70.2.765-770.2004,0,0,"N
            2
            Fixation by Unicellular Bacterioplankton from the Atlantic and Pacific Oceans: Phylogeny and In Situ Rates",Applied and Environmental Microbiology,"(['Ecology', 'Applied Microbiology and Biotechnology', 'Food Science', 'Biotechnology'],)",,Oceanography
,"['Lars O. Hedin', 'Anne M. L. Kraepiel', 'S. Joseph Wright', 'Jean Phillipe Bellenger', 'Nina Wurzburger', 'Alexander R. Barron']",10.1038/ngeo366,https://doi.org/10.1038/ngeo366,0,0,Molybdenum limitation of asymbiotic nitrogen fixation in tropical forest soils,Nature Geoscience,"(['General Earth and Planetary Sciences'],)",,Oceanography
". We have determined the latitudinal distribution of Trichodesmium spp. abundance and community N2 fixation in the Atlantic Ocean along a meridional transect from ca. 30° N to 30° S in November–December 2007 and April–May 2008. The observations from both cruises were highly consistent in terms of absolute magnitude and latitudinal distribution, showing a strong association between Trichodesmium abundance and community N2 fixation. The highest Trichodesmium abundances (mean = 220 trichomes L−1,) and community N2 fixation rates (mean = 60 μmol m−2 d−1) occurred in the Equatorial region between 5° S–15° N. In the South Atlantic gyre, Trichodesmium abundance was very low (ca. 1 trichome L−1) but N2 fixation was always measurable, averaging 3 and 10 μmol m2 d−1 in 2007 and 2008, respectively. We suggest that N2 fixation in the South Atlantic was sustained by other, presumably unicellular, diazotrophs. Comparing these distributions with the geographical pattern in atmospheric dust deposition points to iron supply as the main factor determining the large scale latitudinal variability of Trichodesmium spp. abundance and N2 fixation in the Atlantic Ocean. We observed a marked South to North decrease in surface phosphate concentration, which argues against a role for phosphorus availability in controlling the large scale distribution of N2 fixation. Scaling up from all our measurements (42 stations) results in conservative estimates for total N2 fixation of ∼6 TgN yr−1 in the North Atlantic (0–40° N) and ~1.2 TgN yr−1 in the South Atlantic (0–40° S).","['E. Marañón', 'M. Varela', 'A. Bode', 'B. Mouriño-Carballido', 'A. Fernández']",10.5194/bg-7-3167-2010,https://doi.org/10.5194/bg-7-3167-2010,0,0,Latitudinal distribution of &lt;i&gt;Trichodesmium&lt;/i&gt; spp. and N&lt;sub&gt;2&lt;/sub&gt; fixation in the Atlantic Ocean,Biogeosciences,"(['Earth-Surface Processes', 'Ecology, Evolution, Behavior and Systematics'],)",,Oceanography
,"['Arvind Singh', 'A K Sudheer', 'Sanjeev Kumar', 'Mohammad Atif Khan', 'Deepika Sahoo', 'Himanshu Saxena']",10.1088/2515-7620/ab89fa,http://dx.doi.org/10.1088/2515-7620/ab89fa,5,2020,Dinitrogen fixation rates in the Bay of Bengal during summer monsoon,Environmental Research Communications,"([],)",,Oceanography
,"[' Usha Muraleedharan', ' S. Sardessaia', ' S.N. de Sousaa', ' P.M. Muraleedharana', ' S. Prasanna Kumara', ' N. Ramaiaha', ' Mangesh Gaunsa', 'M. Madhupratapa']",10.1016/S0967-0645(02)00611-2,https://doi.org/10.1016/S0967-0645(02)00611-2,3,2003,"Biogeochemistry of the Bay of Bengal: physical, chemical and primary productivity characteristics of the central and western Bay of Bengal during summer monsoon 2001",['Deep Sea Research Part II: Topical Studies in Oceanography'],"(['Oceanography'],)",,Oceanography
