abstract,author,doi,url,publication month,publication year,title,publisher,crossref_field,semantic_field,label
,"['Julie LaRoche', 'Douglas W. R. Wallace', 'Ruth A. Schmitz', 'Gaute Lavik', 'Marcel M. M. Kuypers', 'Diana Gill', 'Harald Schunck', 'Tina Baustian', 'Wiebke Mohr', 'Tobias Großkopf']",10.1038/nature11338,https://doi.org/10.1038/nature11338,,,Doubling of marine dinitrogen-fixation rates based on direct measurements,Nature,,,Oceanography
,"['Natalie Mahowald', 'William Johns', 'Claire Mahaffey', 'Ajit Subramaniam']",10.1002/grl.50250,https://doi.org/10.1002/grl.50250,,,Equatorial upwelling enhances nitrogen fixation in the Atlantic Ocean,Geophysical Research Letters,,,Oceanography
,"['Jonathan P. Zehr', 'Joseph P. Montoya', 'Mari Ochiai', 'Tracy R. C. Serros', 'Katherine M. Achilles', 'Kendra A. Turk-Kubo']",10.3389/fmicb.2012.00386,https://doi.org/10.3389/fmicb.2012.00386,,,Nitrogenase (nifH) gene expression in diazotrophic cyanobacteria in the Tropical North Atlantic in response to nutrient amendments,Frontiers in Microbiology,,,Oceanography
,"['Jack Gilbert', 'E Malcolm S Woodward', 'Maeve Lohan', 'Rachel Shelley', 'Paul Swift', 'Nicole Pereira', 'Jonathan P Zehr', 'Andrew P Rees', 'Kendra A Turk']",10.1038/ismej.2010.205,https://doi.org/10.1038/ismej.2010.205,,,Nitrogen fixation and nitrogenase (nifH) expression in tropical waters of the eastern North Atlantic,The ISME Journal,,,Oceanography
,"['Charles C. Price', 'Edward J. Carpenter']",10.4319/lo.1977.22.1.0060,https://doi.org/10.4319/lo.1977.22.1.0060,,,"Nitrogen fixation, distribution, and production of Oscillatoria (Trichodesmium) spp. in the western Sargasso and Caribbean Seas1: Oscillatoria measurements",Limnology and Oceanography,,,Oceanography
,"['Douglas G. Capone', 'Birgitta Bergman', 'Frank Cipriano', 'Edward J. Carpenter', 'Luisa I. Falcón']",10.1128/AEM.70.2.765-770.2004,https://doi.org/10.1128/AEM.70.2.765-770.2004,,,"N
            2
            Fixation by Unicellular Bacterioplankton from the Atlantic and Pacific Oceans: Phylogeny and In Situ Rates",Applied and Environmental Microbiology,,,Oceanography
,"['Lars O. Hedin', 'Anne M. L. Kraepiel', 'S. Joseph Wright', 'Jean Phillipe Bellenger', 'Nina Wurzburger', 'Alexander R. Barron']",10.1038/ngeo366,https://doi.org/10.1038/ngeo366,,,Molybdenum limitation of asymbiotic nitrogen fixation in tropical forest soils,Nature Geoscience,,,Oceanography
,"['E. Marañón', 'M. Varela', 'A. Bode', 'B. Mouriño-Carballido', 'A. Fernández']",10.5194/bg-7-3167-2010,https://doi.org/10.5194/bg-7-3167-2010,,,Latitudinal distribution of &lt;i&gt;Trichodesmium&lt;/i&gt; spp. and N&lt;sub&gt;2&lt;/sub&gt; fixation in the Atlantic Ocean,Biogeosciences,,,Oceanography
,"['Arvind Singh', 'A K Sudheer', 'Sanjeev Kumar', 'Mohammad Atif Khan', 'Deepika Sahoo', 'Himanshu Saxena']",10.1088/2515-7620/ab89fa,,5,2020,Dinitrogen fixation rates in the Bay of Bengal during summer monsoon,Environmental Research Communications,,,Oceanography
,"[' Usha Muraleedharan', ' S. Sardessaia', ' S.N. de Sousaa', ' P.M. Muraleedharana', ' S. Prasanna Kumara', ' N. Ramaiaha', ' Mangesh Gaunsa', 'M. Madhupratapa']",10.1016/S0967-0645(02)00611-2,https://doi.org/10.1016/S0967-0645(02)00611-2,3,2003,"Biogeochemistry of the Bay of Bengal: physical, chemical and primary productivity characteristics of the central and western Bay of Bengal during summer monsoon 2001",,,,Oceanography
,"[' Suhas Shetye', ' M. S. Sheshshayee', ' Mini Raman', ' R. Ramesh', ' S. Prakash', ' Arvind Singh', 'Naveen Gandhi']",10.1029/2010GB003970,https://doi.org/10.1029/2010GB003970,12,2011,First direct measurements of N2 fixation during a Trichodesmium bloom in the eastern Arabian Sea,,,,Oceanography
,"['ken furuya', 'Shigenobu Takeda', 'Taketoshi Kodama', 'Minoru Ijichi', 'Takuhei Shiozaki']",10.1002/2014GB004886,https://doi.org/10.1002/2014GB004886,10,2014,Heterotrophic bacteria as major nitrogen fixers in the euphotic zone of the Indian Ocean,"['Global Biogeochemical Cycles', 'Global Biogeochemical Cycles', 'Global Biogeochemical Cycles', 'Global Biogeochemical Cycles', 'Global Biogeochemical Cycles']",,,Oceanography
,"['Don Canfield', 'Hermann W. Bange', 'Wiebke Mohr', 'Carolin Löscher']",10.5194/bg-17-851-2020,https://doi.org/10.5194/bg-17-851-2020,2,2020,No nitrogen fixation in the Bay of Bengal?,"['Biogeosciences', 'Biogeosciences', 'Biogeosciences']",,,Oceanography
,"[' Edward J. Carpenter', ' Ronald L. Siefert', ' Anne M. Johansen', ' Christoph Humborg', ' Maren Voss', ' Joseph P. Montoya', ' Ajit Subramaniam', 'Douglas G. Capone']",10.7916/D8416X1H,https://doi.org/10.7916/D8416X1H,10,1998,An extensive bloom of the N2-fixing cyanobacterium Trichodesmium erythraeum in the central Arabian Sea,,,,Oceanography
,"[' T. Nallathambi', ' R. Ramesh', ' Arvind Singh', 'P. Kiran Kuma']",10.3389/fmars.2017.00080,https://doi.org/10.3389/fmars.2017.00080,3,2017,N2 Fixation in the Eastern Arabian Sea: Probable Role of Heterotrophic Diazotrophs,,,,Oceanography
,"[' R. Ramesh', ' Naveen Gandhi', 'Arvind Singh']",10.1016/j.csr.2019.05.012,https://doi.org/10.1016/j.csr.2019.05.012,5,2019,Surplus supply of bioavailable nitrogen through N2 fixation to primary producers in the eastern Arabian Sea during autumn,,,,Oceanography
,"[' N. Saravanane', ' K. R. Dhanya', ' D. S. Varrier', ' K. V. Sudharma', ' V. Sudheesh', ' G. V. M. Gupta', ' S. Kumar', 'P. S. Bhavya']",10.1007/s12237-015-9982-y,https://doi.org/10.1007/s12237-015-9982-y,5,2016,"Nitrogen Uptake Dynamics in a Tropical Eutrophic Estuary (Cochin, India) and Adjacent Coastal Waters",,,,Oceanography
,"[' S.W.A. Naqvi', ' Damodar M. Shenoy', ' Hema Naik', ' Anil Pratihary', ' Pratirupa Bardhan', ' Siby Kurian', ' Mangesh Gauns', 'Ayaz Ahmed']",10.1016/j.ecss.2017.04.005,http://dx.doi.org/10.1016/j.ecss.2017.04.005,4,2017,Nitrogen fixation rates in the eastern Arabian Sea,,,,Oceanography
,"[' V.R.D. Ghosh', ' D.N. Rao', ' R. Vivek', 'V.V.S.S. Sarma']",10.1016/j.csr.2020.104199,https://doi.org/10.1016/j.csr.2020.104199,7,2020,Severe phosphate limitation on nitrogen fixation in the Bay of Bengal,,,,Oceanography
,"[' P.Vennugopal', ' K.K.C. Nair', ' P.C. Haridas', ' Nuncio Murukesh', ' N.V. Madhu', 'R. Jyothibabu']",,http://nopr.niscair.res.in/handle/123456789/4262,6,2003,Intense blooms of Trichodesmium erythraeum (Cyanophyta) in the open waters along east coast of India,,,,Oceanography
